"EST","DTO","MUN","SECC","date","est.punt.densidad","est.punt.LNE","cota.inf.LNE","cota.sup.LNE"
"15","5","2","58",2020-02-01,9825.50196234265,16591.7343956771,16004.9505129522,17178.5182784019
"15","5","2","58",2020-03-01,9848.13952178435,16629.9610812003,16043.1771984754,17216.7449639252
"15","5","2","58",2020-04-01,9870.44233048844,16667.6224932803,16080.8386105554,17254.4063760052
"15","5","2","58",2020-05-01,9892.41362880001,16704.7241036927,16117.9402209678,17291.5079864176
"15","5","2","58",2020-06-01,9914.05668513874,16741.2714316215,16154.4875488966,17328.0553143464
"15","5","2","58",2020-07-01,9935.37479345558,16777.2700393636,16190.4861566387,17364.0539220885
"15","5","2","58",2020-08-01,9956.37127075502,16812.725528145,16225.9416454201,17399.5094108699
"15","5","2","58",2020-09-01,9977.04945468321,16847.643534048,16260.8596513231,17434.4274167729
"15","5","2","58",2020-10-01,9997.41270118185,16882.0297240497,16295.2458413248,17468.8136067746
"15","5","2","58",2020-11-01,10017.4643822081,16915.8897921713,16329.1059094464,17502.6736748962
"15","5","2","58",2020-12-01,10037.2078835199,16949.2294557388,16362.4455730139,17536.0133384637
"15","5","2","58",2021-01-01,10056.6466025271,16982.0544517539,16395.270569029,17568.8383344788
"15","5","2","58",2021-02-01,10075.7839462078,17014.3705333756,16427.5866506507,17601.1544161005
"15","5","2","58",2021-03-01,10094.623329089,17046.1834665104,16459.3995837855,17632.9673492353
"15","5","2","58",2021-04-01,10113.1681712922,17077.4990265117,16490.7151437868,17664.2829092366
"15","5","2","58",2021-05-01,10131.4218966424,17108.3229949871,16521.5391122622,17695.106877712
"15","5","2","58",2021-06-01,10149.3879308409,17138.6611567123,16551.8772739875,17725.4450394372
"15","5","2","58",2021-07-01,10167.0696996999,17168.5192966505,16581.7354139256,17755.3031793754
"15","5","2","58",2021-08-01,10184.4706274396,17197.9031970763,16611.1193143514,17784.6870798012
"15","5","2","58",2021-09-01,10201.5941350463,17226.8186348038,16640.0347520789,17813.6025175287
"15","5","2","58",2021-10-01,10218.4436386908,17255.2713785149,16668.48749579,17842.0552612398
"15","5","2","58",2021-11-01,10235.022548206,17283.2671861897,16696.4833034648,17870.0510689146
"15","5","2","58",2021-12-01,10251.3342656235,17310.8118026343,16724.0279199094,17897.5956853592
"15","5","2","58",2022-01-01,10267.3821837678,17337.9109571074,16751.1270743825,17924.6948398323
"15","5","2","58",2022-02-01,10283.1696849067,17364.5703610414,16777.7864783165,17951.3542437663
"15","5","2","58",2022-03-01,10298.7001394581,17390.7957058582,16804.0118231333,17977.5795885831
"15","5","2","58",2022-04-01,10313.9769047509,17416.5926608774,16829.8087781525,18003.3765436023
"15","5","2","58",2022-05-01,10329.0033238399,17441.9668713147,16855.1829885898,18028.7507540396
"15","5","2","58",2022-06-01,10343.7827243732,17466.923956369,16880.1400736441,18053.7078390939
"15","5","2","58",2022-07-01,10358.3184175108,17491.4695073973,16904.6856246724,18078.2533901222
"15","5","2","58",2022-08-01,10372.6136968938,17515.6090861734,16928.8252034485,18102.3929688983
"15","5","2","58",2022-09-01,10386.6718376632,17539.348223231,16952.5643405061,18126.1321059559
"15","5","2","58",2022-10-01,10400.4960955265,17562.6924162873,16975.9085335624,18149.4762990122
"15","5","2","58",2022-11-01,10414.089705871,17585.6471287466,16998.8632460217,18172.4310114715
"15","5","2","58",2022-12-01,10427.4558829239,17608.2177882811,17021.4339055562,18195.001671006
"15","5","2","58",2023-01-01,10440.5978189565,17630.4097854874,17043.6259027625,18217.1936682122
"15","5","2","58",2023-02-01,10453.5186835321,17652.2284726163,17065.4445898914,18239.0123553412
"15","5","2","58",2023-03-01,10466.2216227967,17673.6791623755,17086.8952796506,18260.4630451004
"15","5","2","58",2023-04-01,10478.7097588107,17694.7671268007,17107.9832440758,18281.5510095256
"15","5","2","58",2023-05-01,10490.9861889211,17715.4975961954,17128.7137134705,18302.2814789203
"15","5","2","58",2023-06-01,10503.0539851726,17735.8757581371,17149.0918754122,18322.659640862
"15","5","2","58",2023-07-01,10514.9161937571,17755.9067565466,17169.1228738217,18342.6906392715
"15","5","2","58",2023-08-01,10526.5758344994,17775.5956908205,17188.8118080956,18362.3795735454
"15","5","2","58",2023-09-01,10538.0359003792,17794.9476150238,17208.1637322989,18381.7314977487
"15","5","2","58",2023-10-01,10549.2993570879,17813.9675371411,17227.1836544162,18400.751419866
"15","5","2","58",2023-11-01,10560.3691426182,17832.6604183843,17245.8765356594,18419.4443011092
"15","5","2","58",2023-12-01,10571.2481668874,17851.0311725555,17264.2472898306,18437.8150552804
"15","5","2","58",2024-01-01,10581.9393113914,17869.0846654636,17282.3007827388,18455.8685481885
"15","5","2","58",2024-02-01,10592.4454288891,17886.8257143912,17300.0418316663,18473.6095971161
"15","5","2","58",2024-03-01,10602.7693431169,17904.259087612,17317.4752048871,18491.0429703369
"15","5","2","58",2024-04-01,10612.913848531,17921.3895039562,17334.6056212313,18508.1733866811
"15","5","2","58",2024-05-01,10622.8817100773,17938.2216324219,17351.437749697,18525.0055151468
