"EST","DTO","MUN","SECC","date","est.punt","cota.inf","cota.sup"
"2","7","1","13",2029-08-01,23182.7613054524,22526.0356230303,23839.4869878745
"2","7","1","13",2029-09-01,23239.2267344147,22581.1459677958,23897.3075010336
"2","7","1","13",2029-10-01,23295.692163377,22636.2505740937,23955.1337526603
"2","7","1","13",2029-11-01,23352.1575923393,22691.3494773761,24012.9657073024
"2","7","1","13",2029-12-01,23408.6230213015,22746.4427129506,24070.8033296525
"2","7","1","13",2030-01-01,23465.0884502638,22801.5303159785,24128.6465845491
"2","7","1","13",2030-02-01,23521.5538792261,22856.6123214734,24186.4954369788
"2","7","1","13",2030-03-01,23578.0193081884,22911.6887642998,24244.3498520769
"2","7","1","13",2030-04-01,23634.4847371507,22966.7596791717,24302.2097951296
"2","7","1","13",2030-05-01,23690.950166113,23021.8251006513,24360.0752315746
"2","7","1","13",2030-06-01,23747.4155950752,23076.8850631477,24417.9461270028
"2","7","1","13",2030-07-01,23803.8810240375,23131.9396009158,24475.8224471592
"15","5","2","58",2020-01-01,16953.7605042017,16336.5881694864,17570.932838917
"15","5","2","58",2020-02-01,17020.3790111393,16402.7061987086,17638.0518235701
"15","5","2","58",2020-03-01,17086.997518077,16468.8131419579,17705.1818941961
"15","5","2","58",2020-04-01,17153.6160250147,16534.9090267329,17772.3230232964
"15","5","2","58",2020-05-01,17220.2345319523,16600.9938810328,17839.4751828719
"15","5","2","58",2020-06-01,17286.85303889,16667.0677333502,17906.6383444298
"15","5","2","58",2020-07-01,17353.4715458276,16733.130612664,17973.8124789913
"15","5","2","58",2020-08-01,17420.0900527653,16799.1825484323,18040.9975570983
"15","5","2","58",2020-09-01,17486.708559703,16865.2235705849,18108.193548821
"15","5","2","58",2020-10-01,17553.3270666406,16931.2537095158,18175.4004237654
"15","5","2","58",2020-11-01,17619.9455735783,16997.2729960759,18242.6181510806
"15","5","2","58",2020-12-01,17686.5640805159,17063.2814615655,18309.8466994663
"15","5","2","58",2021-01-01,17753.1825874536,17129.2791377265,18377.0860371807
"15","5","2","58",2021-02-01,17819.8010943913,17195.2660567349,18444.3361320476
"15","5","2","58",2021-03-01,17886.4196013289,17261.242251193,18511.5969514648
"15","5","2","58",2021-04-01,17953.0381082666,17327.2077541219,18578.8684624113
"15","5","2","58",2021-05-01,18019.6566152042,17393.1625989533,18646.1506314551
"15","5","2","58",2021-06-01,18086.2751221419,17459.1068195221,18713.4434247616
"15","5","2","58",2021-07-01,18152.8936290795,17525.0404500583,18780.7468081008
"15","5","2","58",2021-08-01,18219.5121360172,17590.963525179,18848.0607468554
"15","5","2","58",2021-09-01,18286.1306429549,17656.8760798808,18915.385206029
"15","5","2","58",2021-10-01,18352.7491498925,17722.7781495315,18982.7201502536
"15","5","2","58",2021-11-01,18419.3676568302,17788.6697698624,19050.065543798
"15","5","2","58",2021-12-01,18485.9861637678,17854.5509769602,19117.4213505755
"15","5","2","58",2022-01-01,18552.6046707055,17920.421807259,19184.787534152
"15","5","2","58",2022-02-01,18619.2231776432,17986.2822975324,19252.1640577539
"15","5","2","58",2022-03-01,18685.8416845808,18052.1324848852,19319.5508842764
"15","5","2","58",2022-04-01,18752.4601915185,18117.9724067459,19386.947976291
"15","5","2","58",2022-05-01,18819.0786984561,18183.802100858,19454.3552960542
"15","5","2","58",2022-06-01,18885.6972053938,18249.6216052727,19521.7728055149
"15","5","2","58",2022-07-01,18952.3157123314,18315.4309583402,19589.2004663227
"15","5","2","58",2022-08-01,19018.9342192691,18381.2301987025,19656.6382398357
"15","5","2","58",2022-09-01,19085.5527262068,18447.0193652845,19724.086087129
"15","5","2","58",2022-10-01,19152.1712331444,18512.7984972869,19791.5439690019
"15","5","2","58",2022-11-01,19218.7897400821,18578.5676341777,19859.0118459864
"15","5","2","58",2022-12-01,19285.4082470197,18644.3268156847,19926.4896783548
"15","5","2","58",2023-01-01,19352.0267539574,18710.0760817869,19993.9774261279
"15","5","2","58",2023-02-01,19418.6452608951,18775.8154727077,20061.4750490824
"15","5","2","58",2023-03-01,19485.2637678327,18841.5450289061,20128.9825067593
"15","5","2","58",2023-04-01,19551.8822747704,18907.2647910694,20196.4997584713
"15","5","2","58",2023-05-01,19618.500781708,18972.9748001054,20264.0267633107
"15","5","2","58",2023-06-01,19685.1192886457,19038.6750971345,20331.5634801569
"15","5","2","58",2023-07-01,19751.7377955834,19104.3657234823,20399.1098676844
"15","5","2","58",2023-08-01,19818.356302521,19170.0467206716,20466.6658843704
"15","5","2","58",2023-09-01,19884.9748094587,19235.7181304153,20534.2314885021
"15","5","2","58",2023-10-01,19951.5933163963,19301.3799946083,20601.8066381843
"15","5","2","58",2023-11-01,20018.211823334,19367.0323553207,20669.3912913473
"15","5","2","58",2023-12-01,20084.8303302716,19432.6752547895,20736.9854057538
"15","5","2","58",2024-01-01,20151.4488372093,19498.3087354123,20804.5889390063
"15","5","2","58",2024-02-01,20218.067344147,19563.9328397389,20872.201848555
"15","5","2","58",2024-03-01,20284.6858510846,19629.5476104649,20939.8240917044
"15","5","2","58",2024-04-01,20351.3043580223,19695.1530904239,21007.4556256206
"15","5","2","58",2024-05-01,20417.9228649599,19760.749322581,21075.0964073389
"15","5","2","58",2024-06-01,20484.5413718976,19826.336350025,21142.7463937702
"15","5","2","58",2024-07-01,20551.1598788353,19891.9142159621,21210.4055417084
"15","5","2","58",2024-08-01,20617.7783857729,19957.4829637085,21278.0738078374
"15","5","2","58",2024-09-01,20684.3968927106,20023.0426366837,21345.7511487375
"15","5","2","58",2024-10-01,20751.0153996482,20088.5932784039,21413.4375208926
"15","5","2","58",2024-11-01,20817.6339065859,20154.1349324749,21481.1328806969
"15","5","2","58",2024-12-01,20884.2524135236,20219.667642586,21548.8371844611
"15","5","2","58",2025-01-01,20950.8709204612,20285.1914525028,21616.5503884196
"15","5","2","58",2025-02-01,21017.4894273989,20350.7064060613,21684.2724487364
"15","5","2","58",2025-03-01,21084.1079343365,20416.2125471612,21752.0033215118
"15","5","2","58",2025-04-01,21150.7264412742,20481.7099197596,21819.7429627888
"15","5","2","58",2025-05-01,21217.3449482118,20547.1985678647,21887.491328559
"15","5","2","58",2025-06-01,21283.9634551495,20612.6785355299,21955.2483747691
"15","5","2","58",2025-07-01,21350.5819620872,20678.1498668476,22023.0140573268
"15","5","2","58",2025-08-01,21417.2004690248,20743.6126059428,22090.7883321068
"15","5","2","58",2025-09-01,21483.8189759625,20809.0667969679,22158.571154957
"15","5","2","58",2025-10-01,21550.4374829001,20874.5124840964,22226.3624817039
"15","5","2","58",2025-11-01,21617.0559898378,20939.9497115172,22294.1622681584
"15","5","2","58",2025-12-01,21683.6744967755,21005.3785234291,22361.9704701218
"15","5","2","58",2026-01-01,21750.2930037131,21070.7989640351,22429.7870433911
"15","5","2","58",2026-02-01,21816.9115106508,21136.2110775369,22497.6119437647
"15","5","2","58",2026-03-01,21883.5300175884,21201.6149081295,22565.4451270474
"15","5","2","58",2026-04-01,21950.1485245261,21267.0104999961,22633.2865490561
"15","5","2","58",2026-05-01,22016.7670314638,21332.3978973026,22701.1361656249
"15","5","2","58",2026-06-01,22083.3855384014,21397.7771441925,22768.9939326103
"15","5","2","58",2026-07-01,22150.0040453391,21463.1482847821,22836.859805896
"15","5","2","58",2026-08-01,22216.6225522767,21528.5113631552,22904.7337413982
"15","5","2","58",2026-09-01,22283.2410592144,21593.8664233584,22972.6156950704
"15","5","2","58",2026-10-01,22349.859566152,21659.2135093962,23040.5056229079
"15","5","2","58",2026-11-01,22416.4780730897,21724.5526652266,23108.4034809528
"15","5","2","58",2026-12-01,22483.0965800274,21789.883934756,23176.3092252987
"15","5","2","58",2027-01-01,22549.715086965,21855.2073618351,23244.222812095
"15","5","2","58",2027-02-01,22616.3335939027,21920.5229902543,23312.1441975511
"15","5","2","58",2027-03-01,22682.9521008403,21985.8308637392,23380.0733379415
"15","5","2","58",2027-04-01,22749.570607778,22051.1310259467,23448.0101896093
"15","5","2","58",2027-05-01,22816.1891147157,22116.4235204605,23515.9547089708
"15","5","2","58",2027-06-01,22882.8076216533,22181.708390787,23583.9068525196
"15","5","2","58",2027-07-01,22949.426128591,22246.9856803516,23651.8665768304
"15","5","2","58",2027-08-01,23016.0446355286,22312.2554324944,23719.8338385629
"15","5","2","58",2027-09-01,23082.6631424663,22377.5176904666,23787.808594466
"15","5","2","58",2027-10-01,23149.281649404,22442.7724974268,23855.7908013812
"15","5","2","58",2027-11-01,23215.9001563416,22508.019896437,23923.7804162462
